Dataset Name,Dataset Schema Version,Virtual Folder Name,Datasource URI,Column Name,Column Value Sequence,Column Frequency_Value,Frequency_Count
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,ocltv,2,80,1182
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,ocltv,3,90,874
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,ocltv,4,97,537
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,ocltv,5,85,467
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,ocltv,6,75,444
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,ocltv,7,70,317
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,ocltv,8,89,170
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,ocltv,9,69,167
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,ocltv,10,83,158
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,ocltv,11,72,156
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,ocltv,12,60,150
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,ocltv,13,64,147
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,ocltv,14,68,127
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,ocltv,15,55,118
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,ocltv,16,71,117
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,ocltv,17,58,116
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,ocltv,18,63,105
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,ocltv,19,93,102
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,ocltv,20,65,101
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,oltv,1,95,1276
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,oltv,2,80,1192
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,oltv,3,90,883
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,oltv,4,97,534
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,oltv,5,85,467
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,oltv,6,75,444
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,oltv,7,70,329
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,oltv,8,69,184
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,oltv,9,89,170
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,oltv,10,60,168
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,oltv,11,83,158
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,oltv,12,72,156
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,oltv,13,64,129
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,oltv,14,71,123
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,oltv,15,58,116
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,oltv,16,63,105
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,oltv,17,93,102
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,oltv,18,65,101
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,oltv,19,31,100
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,oltv,20,57,100
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_dt,1,92019,397
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_dt,2,62019,375
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_dt,3,92021,339
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_dt,4,32023,319
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_dt,5,122022,318
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_dt,6,62021,311
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_dt,7,62023,303
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_dt,8,92020,303
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_dt,9,12021,288
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_dt,10,122020,286
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_dt,11,62022,280
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_dt,12,52019,271
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_dt,13,122019,267
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_dt,14,92022,265
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_dt,15,122021,248
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_dt,16,72020,247
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_dt,17,42022,229
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_dt,18,32020,227
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_dt,19,102020,227
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_dt,20,112020,223
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_int_rate,1,3.375,469
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_int_rate,2,2.875,432
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_int_rate,3,3.125,396
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_int_rate,4,3,385
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_int_rate,5,4.25,353
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_int_rate,6,3.75,339
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_int_rate,7,3.625,335
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_int_rate,8,3.5,329
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_int_rate,9,2.625,328
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_int_rate,10,3.25,327
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_int_rate,11,2.99,274
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_int_rate,12,3.99,254
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_int_rate,13,4.125,240
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_int_rate,14,6.625,236
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_int_rate,15,2.75,234
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_int_rate,16,4.875,231
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_int_rate,17,5.25,225
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_int_rate,18,4.5,197
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_int_rate,19,4,176
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_int_rate,20,5.125,168
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_term,1,360,8035
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_term,2,180,1043
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_term,3,240,185
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_term,4,120,88
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_term,5,348,39
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_term,6,264,39
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_term,7,300,29
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_term,8,294,21
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_term,9,324,20
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_term,10,0,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_upb,1,350000,129
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_upb,2,222000,126
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_upb,3,400000,120
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_upb,4,234000,99
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_upb,5,250000,93
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_upb,6,225000,88
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_upb,7,333000,87
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_upb,8,170000,87
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_upb,9,214000,87
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_upb,10,242000,86
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_upb,11,179000,86
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_upb,12,150000,84
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_upb,13,395000,84
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_upb,14,575000,82
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_upb,15,342000,82
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_upb,16,111000,81
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_upb,17,98000,81
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_upb,18,445000,81
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_upb,19,118000,79
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,orig_upb,20,154000,76
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,pay_hist,1,0,1309
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,pay_hist,2,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00,620
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,pay_hist,3,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000,613
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,pay_hist,4,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000,607
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,pay_hist,5,,509
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,pay_hist,6,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00000000,441
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,pay_hist,7,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000000000,429
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,pay_hist,8,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000000000,425
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,pay_hist,9,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00000000000000,335
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,pay_hist,10,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000000000000000,327
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,pay_hist,11,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000000000000000,322
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,pay_hist,12,XXXXXXXXXXXXXXXXXXXXXXXXXX0000000000000000000000,269
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,pay_hist,13,XXXXXXXXXXXXXXXXXXXXXXXXXXXX00000000000000000000,267
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,pay_hist,14,XXXXXXXXXXXXXXXXXXXXXXXX000000000000000000000000,264
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,pay_hist,15,XXXXXXXXXXXXXXXXXXXXXX00000000000000000000000000,221
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,pay_hist,16,XXXXXXXXXXXXXXXXXXXX0000000000000000000000000000,218
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,pay_hist,17,XXXXXXXXXXXXXXXXXX000000000000000000000000000000,214
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,pay_hist,18,XXXXXXXXXXXXXXXX00000000000000000000000000000000,179
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,pay_hist,19,XXXXXXXXXXXXXX0000000000000000000000000000000000,175
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,pay_hist,20,XXXXXXXXXXXX000000000000000000000000000000000000,171
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prepay_penalty_ind,1,N,9499
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prepay_penalty_ind,2,FRM,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_state,1,CA,1392
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_state,2,TX,810
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_state,3,OH,697
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_state,4,FL,668
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_state,5,NY,631
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_state,6,WA,423
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_state,7,IL,410
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_state,8,PA,327
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_state,9,GA,307
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_state,10,NJ,280
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_state,11,NC,269
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_state,12,NV,223
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_state,13,MA,220
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_state,14,CO,210
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_state,15,MN,192
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_state,16,AZ,189
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_state,17,LA,183
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_state,18,VA,179
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_state,19,AL,168
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_state,20,MI,152
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_type,1,SF,5639
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_type,2,PU,2759
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_type,3,CO,1005
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_type,4,MH,81
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_type,5,CP,15
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,prop_type,8,P,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,ref_pool_id,1,,9500
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,removal_upb,1,,9397
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,removal_upb,2,261987.26,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,removal_upb,3,319756.98,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,removal_upb,4,323453.67,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,removal_upb,5,255000,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,removal_upb,6,757000,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,removal_upb,7,325000,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,removal_upb,8,300000,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,removal_upb,9,299744.28,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,removal_upb,10,319451.21,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,removal_upb,11,335639.62,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,removal_upb,12,246102.27,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,removal_upb,13,299000,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,removal_upb,14,337935.51,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,removal_upb,15,340767.06,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,removal_upb,16,295534.64,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,removal_upb,17,240207.35,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,removal_upb,18,295149.46,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,removal_upb,19,238533.09,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,removal_upb,20,279000,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,repurchase_date,1,,9499
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,repurchase_date,2,201303.8,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_legal_maturity,1,359,560
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_legal_maturity,2,358,532
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_legal_maturity,3,360,451
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_legal_maturity,4,357,445
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_legal_maturity,5,356,419
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_legal_maturity,6,355,401
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_legal_maturity,7,354,352
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_legal_maturity,8,353,328
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_legal_maturity,9,352,322
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_legal_maturity,10,351,285
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_legal_maturity,11,350,268
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_legal_maturity,12,349,249
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_legal_maturity,13,348,225
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_legal_maturity,14,347,212
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_legal_maturity,15,346,201
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_legal_maturity,16,345,182
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_legal_maturity,17,344,172
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_legal_maturity,18,343,156
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_legal_maturity,19,342,144
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_legal_maturity,20,341,141
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_maturity,1,359,523
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_maturity,2,358,492
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_maturity,3,360,434
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_maturity,4,357,414
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_maturity,5,356,403
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_maturity,6,355,375
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_maturity,7,354,347
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_maturity,8,353,312
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_maturity,9,352,293
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_maturity,10,351,290
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_maturity,11,350,277
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_maturity,12,349,245
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_maturity,13,348,231
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_maturity,14,346,202
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_maturity,15,347,192
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_maturity,16,345,178
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_maturity,17,344,163
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_maturity,18,343,147
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_maturity,19,342,141
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,rmng_mnth_maturity,20,340,136
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,seller_name,1,Other,4794
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,seller_name,2,Rocket Mortgage,633
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,seller_name,3,PennyMac Corp.,494
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,seller_name,4,Wells Fargo Bank,485
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,seller_name,5,United Wholesale Mortgage,461
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,seller_name,6,JPMorgan Chase Bank,270
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,seller_name,7,Fairway Independent Mortgage Corporation,267
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,seller_name,8,loanDepot.com,189
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,seller_name,9,Guaranteed Rate,186
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,seller_name,10,United Shore Financial Services,178
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,seller_name,11,Home Point Financial Corporation,141
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,seller_name,12,U.S. Bank N.A.,131
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,seller_name,13,Quicken Loans,121
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,seller_name,14,Truist Bank (formerly SunTrust Bank),113
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,seller_name,15,Movement Mortgage,110
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,seller_name,16,Guild Mortgage Company LLC,109
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,seller_name,17,NewRez LLC,78
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,seller_name,18,Amerisave Mortgage Corporation,75
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,seller_name,19,CrossCountry Mortgage,60
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,seller_name,20,PennyMac Loan Services,54
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,servicer_name,1,Other,3760
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,servicer_name,2,Rocket Mortgage,556
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,servicer_name,3,PennyMac Corp.,482
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,servicer_name,4,Wells Fargo Bank,473
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,servicer_name,5,Lakeview Loan Servicing,378
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,servicer_name,6,United Wholesale Mortgage,353
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,servicer_name,7,Freedom Mortgage Corp.,350
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,servicer_name,8,JPMorgan Chase Bank,342
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,servicer_name,9,NationStar Mortgage,305
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,servicer_name,10,Matrix Financial Services Corporation,216
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,servicer_name,11,Truist Bank (formerly SunTrust Bank),156
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,servicer_name,12,Guaranteed Rate,155
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,servicer_name,13,U.S. Bank N.A.,131
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,servicer_name,14,loanDepot.com,127
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,servicer_name,15,Pingora Loan Servicing,126
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,servicer_name,16,New Residential Mortgage LLC,124
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,servicer_name,17,LLC dba United Wholesale Mortgage,116
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,servicer_name,18,,100
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,servicer_name,19,Specialized Loan Servicing,98
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,servicer_name,20,Guild Mortgage Company LLC,91
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,upb_at_issuance,1,,9499
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,upb_at_issuance,2,204000,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,zb_code,1,,9398
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,zb_code,2,1,98
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,zb_code,3,6,4
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,zb_effective_date,1,,9397
